#1
double t_data(1345,15)  # storm weather influent data"t"	"S.O2"	"S.I"	"S.S"	"S.NH"	"S.N2"	"S.NO"	"S.ALK"	"X.I"	"X.S"	"X.H"	"X.STO"	"X.A"	"X.SS"	"Q"
2.291666667	0	30	40.04693	20.02734	0	0	7	17.993	124.63	15.847	0	0	118.8525	11805
2.302083333	0	30	40.34212	19.99951	0	0	7	17.836	122.194	15.559	0	0	116.69175	11951
2.3125	0	30	40.58293	20.10039	0	0	7	17.901	119.353	15.25	0	0	114.378	12317
2.322916667	0	30	40.89365	20.40303	0	0	7	18.217	117.066	15.031	0	0	112.7355	12825
2.333333333	0	30	41.16553	20.82047	0	0	7	18.085	116.431	14.946	0	0	112.0965	12800
2.34375	0	30	41.86465	21.16834	0	0	7	17.936	117.147	15.009	0	0	112.569	12600
2.354166667	0	30	42.42395	21.6136	0	0	7	18.882	116.461	15.038	0	0	112.78575	13408
2.364583333	0	30	43.94649	22.1354	0	0	7	19.444	115.546	14.999	0	0	112.49175	13952
2.375	0	30	48.77431	24.68178	0	0	7	23.457	113.4	15.206	0	0	114.04725	17235
2.385416667	0	30	59.88648	29.65625	0	0	7	23.953	115.809	15.529	0	0	116.46825	17233
2.395833333	0	30	71.46084	34.24807	0	0	7	30.862	116.464	16.37	0	0	122.772	21804
2.40625	0	30	80.00567	37.93544	0	0	7	37.611	119.367	17.442	0	0	130.815	25418
2.416666667	0	30	94.90087	43.39692	0	0	7	41.553	135.841	19.71	0	0	147.828	24776
2.427083333	0	30	105.7761	46.61468	0	0	7	51.378	152.939	22.702	0	0	170.26425	26842
2.4375	0	30	115.2104	49.24802	0	0	7	59.827	165.562	25.043	0	0	187.824	28519
2.447916667	0	30	120.011	49.99941	0	0	7	70.934	179.123	27.784	0	0	208.38075	30707
2.458333333	0	30	118.9701	49.24802	0	0	7	79.066	197.282	30.705	0	0	230.28975	31000
2.46875	0	30	112.1109	45.74154	0	0	7	86.766	216.416	33.687	0	0	252.65175	31009
2.479166667	0	30	102.4553	40.85751	0	0	7	92.678	233.97	36.294	0	0	272.2065	30713
2.489583333	0	30	94.81153	39.03469	0	0	7	87.816	258.525	38.482	0	0	288.61725	27093
2.5	0	30	88.37961	36.8501	0	0	7	87.877	273.937	40.202	0	0	301.512	25812
2.510416667	0	30	81.2874	34.24807	0	0	7	88.664	276.448	40.568	0	0	304.26	25808
2.520833333	0	30	75.7721	32.16088	0	0	7	85.233	278.994	40.47	0	0	303.52275	24748
2.53125	0	30	70.37332	30.77985	0	0	7	84.593	277.82	40.268	0	0	302.01075	24677
2.541666667	0	30	68.27595	29.79539	0	0	7	74.785	283.068	39.761	0	0	298.2105	21745
2.552083333	0	30	67.03307	29.23881	0	0	7	86.217	270.4	39.624	0	0	297.18075	25678
2.5625	0	30	66.76507	28.52221	0	0	7	81.765	263.773	38.393	0	0	287.94825	25062
2.572916667	0	30	67.07967	27.95867	0	0	7	78.638	272.359	39	0	0	292.49775	23552
2.583333333	0	30	68.08952	28.12564	0	0	7	76.377	275.771	39.128	0	0	293.457	22693
2.59375	0	30	68.72261	27.55166	0	0	7	67.64	280.213	38.65	0	0	289.87725	20001
2.604166667	0	30	68.31479	27.4647	0	0	7	61.559	280.401	37.996	0	0	284.967	18269
2.614583333	0	30	65.16874	26.45589	0	0	7	76.206	252.254	36.495	0	0	273.71625	24508
2.625	0	30	61.64516	26.1776	0	0	7	66.56	244.38	34.549	0	0	259.11675	22354
2.635416667	0	30	59.76219	26.28891	0	0	7	64.302	256.031	35.593	0	0	266.9445	20755
2.645833333	0	30	58.94655	26.78984	0	0	7	66.782	251.767	35.394	0	0	265.45725	21824
2.65625	0	30	59.38933	27.29076	0	0	7	54.873	256.932	34.645	0	0	259.8375	17785
