#1
double t_data(1345,16)	#t	S.O2	S.I	S.S	S.NH	S.N2	S.NO	S.ALK	X.I	X.S	X.H	X.A	X.STO	X.SS	d1$S.P	Q
2.552	0	30	67.03	29.24	0	0	7	86.22	270.4	39.62	0	0	297.2	9.26399	25680
2.563	0	30	66.77	28.52	0	0	7	81.77	263.8	38.39	0	0	287.9	9.14344	25060
2.573	0	30	67.08	27.96	0	0	7	78.64	272.4	39	0	0	292.5	9.141695	23550
2.583	0	30	68.09	28.13	0	0	7	76.38	275.8	39.13	0	0	293.5	9.24376333333333	22690
2.594	0	30	68.72	27.55	0	0	7	67.64	280.2	38.65	0	0	289.9	9.23368916666667	20000
2.604	0	30	68.31	27.46	0	0	7	61.56	280.4	38	0	0	285	9.1719575	18270
2.615	0	30	65.17	26.46	0	0	7	76.21	252.3	36.5	0	0	273.7	8.77871916666667	24510
2.625	0	30	61.65	26.18	0	0	7	66.56	244.4	34.55	0	0	259.1	8.40089666666667	22350
2.635	0	30	59.76	26.29	0	0	7	64.3	256	35.59	0	0	266.9	8.28600833333333	20760
2.646	0	30	58.95	26.79	0	0	7	66.78	251.8	35.39	0	0	265.5	8.2535325	21820
2.656	0	30	59.39	27.29	0	0	7	54.87	256.9	34.65	0	0	259.8	8.30867416666667	17790
2.667	0	30	60.21	27.12	0	0	7	52.7	257.6	34.48	0	0	258.6	8.3581275	17050
2.677	0	30	62.43	27.42	0	0	7	54.39	241.1	32.83	0	0	246.2	8.5160475	18760
2.688	0	30	65.87	28.33	0	0	7	51.53	229	31.17	0	0	233.8	8.82685166666667	18710
2.698	0	30	65.62	28.28	0	0	7	51.38	223.1	30.5	0	0	228.8	8.780415	19130
