#1
double t_data(1345,16)	# t	S.I	S.S	X.I	X.S	X.H	X.A	X.P	S.O2	S.NO	S.NH	S.ND	X.ND	S.ALK	S.P	Q
8.322916667	30	40.89365	19.3822784810127	135.160759493671	17.1721518987342	0	0	0	0	20.40303	4.08937	6.45569620253164	7	5.64603135021097	11717
8.333333333	30	41.16553	19.3164556962025	134.358227848101	17.0746835443038	0	0	0	0	20.82047	4.11655	6.41898734177215	7	5.70041561181435	11751
8.34375	30	41.86465	18.7898734177215	133.329113924051	16.9025316455696	0	0	0	0	21.16834	4.18647	6.35443037974683	7	5.78228503164557	11489
8.354166667	30	42.42395	20.9253164556962	134.158227848101	17.2316455696203	0	0	0	0	21.6136	4.2424	6.47848101265823	7	5.87633591772152	12859
8.364583333	30	43.94649	20.3569620253165	135.405063291139	17.3075949367089	0	0	0	0	22.1354	4.39465	6.50632911392405	7	6.04901825949367	12350
8.375	30	29.46514	12.1862405063291	81.9894683544304	10.4641392405063	0	0	0	0	14.91056	2.94652	3.93360759493671	7	4.02577563291139	20185
8.385416667	30	32.76231	14.1082658227848	76.6117594936709	10.08	0	0	0	0	16.22415	3.27623	3.78935443037975	7	4.39798453586498	28020
8.395833333	30	45.64286	27.5729367088608	98.5515696202532	14.0136582278481	0	0	0	0	21.87464	4.56429	5.26815189873418	7	6.06547099156118	35855
8.40625	30	43.38142	27.6008481012658	94.9649493670886	13.6181898734177	0	0	0	0	20.56971	4.33814	5.11960759493671	7	5.75589479957806	43690
8.416666667	30	52.48613	32.9310253164557	107.787012658228	15.6355696202532	0	0	0	0	24.00122	5.24861	5.87786075949367	7	6.86376756329114	44749
8.427083333	30	61.0022	42.332746835443	123.775240506329	18.4562025316456	0	0	0	0	26.88318	6.10022	6.93877215189873	7	7.90201267932489	47249
8.4375	30	68.6645	53.0380253164557	140.781670886076	21.5356835443038	0	0	0	0	29.35144	6.86645	8.0956835443038	7	8.84263529535865	49504
8.447916667	30	73.73545	65.932746835443	158.828569620253	24.9736455696203	0	0	0	0	30.71993	7.37355	9.38874683544304	7	9.48701056962025	51868
8.458333333	30	73.32298	73.0558734177215	174.180569620253	27.4704556962025	0	0	0	0	30.35226	7.3323	10.3275569620253	7	9.50023308016877	52126
8.46875	30	68.91573	77.6589240506329	186.770012658228	29.3808227848101	0	0	0	0	28.1178	6.89157	11.045329113924	7	9.006571592827	51909
8.479166667	30	62.99402	82.1283544303797	197.378126582278	31.0566202531646	0	0	0	0	25.12099	6.2994	11.6750253164557	7	8.31583627637131	51927
8.489583333	30	58.14743	84.9258227848101	205.812455696203	32.3043417721519	0	0	0	0	23.93978	5.81474	12.1447974683544	7	7.85266728902953	51719
8.5	30	53.67058	84.4271265822785	211.298050632911	32.8581012658228	0	0	0	0	22.37808	5.36706	12.3530126582278	7	7.36680605485232	50926
8.510416667	30	46.7257	70.1157848101266	206.910050632911	30.7805696202532	0	0	0	0	19.68651	4.67257	11.5713670886076	7	6.49863142405063	47039
8.520833333	30	42.7156	65.0824683544304	202.585278481013	29.7411012658228	0	0	0	0	18.13031	4.27156	11.1805696202532	7	6.0022066350211	45844
8.53125	30	39.21676	61.8757341772152	198.585430379747	28.9398101265823	0	0	0	0	17.15261	3.92168	10.879417721519	7	5.60406564345992	45174
8.541666667	30	37.78404	59.6980632911392	195.093810126582	28.3103670886076	0	0	0	0	16.48883	3.7784	10.642835443038	7	5.40964212025317	44783
8.552083333	30	36.86789	57.7613670886076	191.775772151899	27.7267341772152	0	0	0	0	16.08121	3.68679	10.4234556962025	7	5.28104630801688	44444
8.5625	30	35.53871	51.1111012658228	183.922759493671	26.1147974683544	0	0	0	0	15.18223	3.55387	9.81781012658228	7	5.04489584388186	42762
8.572916667	30	37.22668	57.7237974683544	187.273746835443	27.2219493670886	0	0	0	0	15.516	3.72267	10.2337848101266	7	5.24803873417722	44940
8.583333333	30	37.21902	54.6522025316456	184.293607594937	26.5497594936709	0	0	0	0	15.37401	3.7219	9.98098734177215	7	5.21450144514768	44113
8.59375	30	36.99472	51.4640253164557	180.240265822785	25.7453037974684	0	0	0	0	14.8316	3.69947	9.67884810126582	7	5.12543067510549	43320
8.604166667	30	35.97413	47.2454430379747	174.38846835443	24.6259113924051	0	0	0	0	14.46274	3.59741	9.25805063291139	7	4.97457671940928	42247
8.614583333	30	34.04337	45.2216075949367	170.047898734177	23.9187594936709	0	0	0	0	13.82024	3.40434	8.99235443037975	7	4.73799703586498	41875
8.625	30	32.19426	44.4197721518987	167.130949367089	23.5059240506329	0	0	0	0	13.67128	3.21943	8.83662025316456	7	4.55851335443038	41863
8.635416667	30	30.77675	41.8364936708861	162.499886075949	22.703746835443	0	0	0	0	13.53844	3.07767	8.53508860759494	7	4.40418988396625	41236
8.645833333	30	30.52008	41.8578227848101	160.625088607595	22.498253164557	0	0	0	0	13.87067	3.05201	8.45781012658228	7	4.40404667721519	41473
